index,state1,state2,length
138,New York Rangers,Detroit Red Wings,1
139,Detroit Red Wings,San Jose Sharks,2
140,Vancouver Canucks,Los Angeles Kings,1
141,New Jersey Devils,Pittsburgh Penguins,2
142,Toronto Maple Leafs,St. Louis Blues,2
143,Carolina Hurricanes,Boston Bruins,1
144,Boston Bruins,New Jersey Devils,1
145,Buffalo Sabres,New York Islanders,1
146,Ottawa Senators,Buffalo Sabres,1
147,Calgary Flames,Chicago Blackhawks,2
148,New Jersey Devils,Carolina Hurricanes,1
149,Chicago Blackhawks,Edmonton Oilers,1
150,Colorado Avalanche,Dallas Stars,2
151,Colorado Avalanche,San Jose Sharks,2
152,Los Angeles Kings,St. Louis Blues,2
153,New York Islanders,Montreal Canadiens,1
154,New York Islanders,Philadelphia Flyers,1
155,Pittsburgh Penguins,New York Islanders,1
156,Ottawa Senators,Pittsburgh Penguins,1
157,Philadelphia Flyers,Washington Capitals,2
158,San Jose Sharks,St. Louis Blues,2
159,Dallas Stars,Anaheim Ducks,1
160,Calgary Flames,Arizona Coyotes,1
161,Boston Bruins,Washington Capitals,1
162,Buffalo Sabres,Dallas Stars,1
163,Calgary Flames,Detroit Red Wings,1
164,Calgary Flames,San Jose Sharks,1
165,Los Angeles Kings,Chicago Blackhawks,1
166,Colorado Avalanche,Minnesota Wild,1
167,Nashville Predators,Detroit Red Wings,1
168,Edmonton Oilers,New York Islanders,1
169,Philadelphia Flyers,Edmonton Oilers,1
170,Los Angeles Kings,New York Rangers,1
171,San Jose Sharks,Los Angeles Kings,1
172,Los Angeles Kings,Toronto Maple Leafs,1
173,Montreal Canadiens,Tampa Bay Lightning,1
174,New Jersey Devils,Ottawa Senators,1
175,Toronto Maple Leafs,New York Islanders,1
176,Pittsburgh Penguins,St. Louis Blues,1
